ダウンロードした時刻：2024/07/09 16:09:27

,浜松,浜松,浜松,浜松,浜松,浜松
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1995/5/14,16.8,8,1,20.2,8,1
1995/5/15,16.8,8,1,17.6,8,1
1995/5/16,16.9,8,1,19.1,8,1
1995/5/17,16.8,8,1,20.8,8,1
1995/5/18,18.4,8,1,23.1,8,1
1995/5/19,18.3,8,1,23.1,8,1
1995/5/20,18.6,8,1,23.2,8,1
1995/5/21,17.1,8,1,20.5,8,1
1995/5/22,18.1,8,1,23.3,8,1
1995/5/23,19.2,8,1,25.6,8,1
1995/5/24,19.7,8,1,25.4,8,1
1995/5/25,20.1,8,1,25.4,8,1
1995/5/26,20.7,8,1,27.7,8,1
1995/5/27,21.8,8,1,27.4,8,1
1995/5/28,20.0,8,1,24.5,8,1
1995/5/29,16.8,8,1,20.2,8,1
1995/5/30,20.1,8,1,25.2,8,1
1995/5/31,21.1,8,1,26.2,8,1
1995/6/1,20.8,8,1,27.4,8,1
1995/6/2,19.7,8,1,24.0,8,1
1995/6/3,18.9,8,1,23.8,8,1
1995/6/4,20.9,8,1,24.3,8,1
1995/6/5,21.0,8,1,24.4,8,1
1995/6/6,21.2,8,1,26.9,8,1
1995/6/7,19.7,8,1,23.2,8,1
1995/6/8,18.3,8,1,21.8,8,1
1995/6/9,20.3,8,1,24.3,8,1
1995/6/10,20.7,8,1,24.5,8,1
1995/6/11,20.6,8,1,23.9,8,1
1995/6/12,19.7,8,1,23.1,8,1
1995/6/13,19.1,8,1,22.1,8,1
1995/6/14,19.3,8,1,21.0,8,1
1995/6/15,20.7,8,1,24.6,8,1
1995/6/16,21.8,8,1,26.6,8,1
1995/6/17,21.2,8,1,25.5,8,1
1995/6/18,20.5,8,1,24.3,8,1
1995/6/19,22.9,8,1,26.9,8,1
1995/6/20,24.5,8,1,29.5,8,1
1995/6/21,22.5,8,1,26.6,8,1
1995/6/22,22.4,8,1,27.0,8,1
1995/6/23,21.2,8,1,23.4,8,1
1995/6/24,22.7,8,1,26.0,8,1
1995/6/25,22.0,8,1,25.6,8,1
1995/6/26,22.4,8,1,24.6,8,1
1995/6/27,23.6,8,1,28.4,8,1
1995/6/28,22.6,8,1,25.3,8,1
1995/6/29,23.2,8,1,26.7,8,1
1995/6/30,23.7,8,1,27.8,8,1
1995/7/1,22.7,8,1,24.7,8,1
1995/7/2,24.1,8,1,25.5,8,1
1995/7/3,23.6,8,1,25.8,8,1
1995/7/4,22.4,8,1,24.3,8,1
1995/7/5,22.9,8,1,23.9,8,1
1995/7/6,23.9,8,1,27.9,8,1
1995/7/7,24.8,8,1,29.5,8,1
1995/7/8,25.1,8,1,28.4,8,1
1995/7/9,26.4,8,1,30.7,8,1
1995/7/10,27.1,8,1,33.0,8,1
1995/7/11,27.5,8,1,33.6,8,1
1995/7/12,27.7,8,1,32.2,8,1
1995/7/13,28.1,8,1,32.5,8,1
1995/7/14,27.5,8,1,31.0,8,1
1995/7/15,27.0,8,1,30.9,8,1
1995/7/16,26.4,8,1,29.1,8,1
1995/7/17,26.5,8,1,30.4,8,1
1995/7/18,24.2,8,1,27.1,8,1
1995/7/19,24.4,8,1,27.8,8,1
1995/7/20,25.5,8,1,29.2,8,1
1995/7/21,24.3,8,1,27.9,8,1
1995/7/22,23.9,8,1,26.5,8,1
1995/7/23,27.0,8,1,31.3,8,1
1995/7/24,27.5,8,1,30.2,8,1
1995/7/25,29.7,8,1,36.0,8,1
1995/7/26,29.2,8,1,34.0,8,1
1995/7/27,28.1,8,1,32.1,8,1
1995/7/28,28.1,8,1,31.4,8,1
1995/7/29,28.1,8,1,31.1,8,1
1995/7/30,28.1,8,1,31.0,8,1
1995/7/31,29.6,8,1,36.6,8,1
1995/8/1,30.1,8,1,36.4,8,1
1995/8/2,29.3,8,1,35.4,8,1
1995/8/3,30.4,8,1,36.7,8,1
1995/8/4,30.8,8,1,37.6,8,1
1995/8/5,29.2,8,1,36.2,8,1
1995/8/6,28.2,8,1,32.6,8,1
1995/8/7,28.1,8,1,33.1,8,1
1995/8/8,28.7,8,1,34.7,8,1
1995/8/9,29.1,8,1,35.9,8,1
1995/8/10,29.4,8,1,35.0,8,1
1995/8/11,28.5,8,1,33.0,8,1
1995/8/12,26.9,8,1,31.3,8,1
1995/8/13,27.5,8,1,31.0,8,1
1995/8/14,27.7,8,1,31.9,8,1
1995/8/15,27.8,8,1,31.9,8,1
1995/8/16,28.6,8,1,32.5,8,1
1995/8/17,28.0,8,1,32.4,8,1
1995/8/18,28.1,8,1,32.3,8,1
1995/8/19,29.9,8,1,36.1,8,1
1995/8/20,28.7,8,1,33.2,8,1
1995/8/21,28.6,8,1,33.6,8,1
1995/8/22,28.8,8,1,33.4,8,1
1995/8/23,28.3,8,1,32.2,8,1
1995/8/24,28.5,8,1,32.5,8,1
1995/8/25,28.5,8,1,31.9,8,1
1995/8/26,28.8,8,1,32.9,8,1
1995/8/27,28.0,8,1,31.2,8,1
1995/8/28,29.1,8,1,33.7,8,1
1995/8/29,26.8,8,1,31.7,8,1
1995/8/30,26.2,8,1,30.7,8,1
1995/8/31,26.0,8,1,29.7,8,1
1995/9/1,27.4,8,1,33.4,8,1
1995/9/2,26.1,8,1,30.3,8,1
1995/9/3,24.5,8,1,28.2,8,1
1995/9/4,27.7,8,1,32.8,8,1
1995/9/5,25.6,8,1,31.2,8,1
1995/9/6,24.1,8,1,27.2,8,1
1995/9/7,25.8,8,1,30.5,8,1
1995/9/8,23.1,8,1,25.3,8,1
1995/9/9,22.8,8,1,25.3,8,1
1995/9/10,24.6,8,1,29.2,8,1
1995/9/11,27.0,8,1,32.6,8,1
1995/9/12,22.7,8,1,27.2,8,1
1995/9/13,24.2,8,1,29.7,8,1
1995/9/14,25.0,8,1,29.1,8,1
1995/9/15,24.0,8,1,27.8,8,1
1995/9/16,21.6,8,1,24.3,8,1
1995/9/17,19.7,8,1,25.0,8,1
1995/9/18,21.0,8,1,25.8,8,1
1995/9/19,21.2,8,1,25.3,8,1
1995/9/20,21.1,8,1,26.4,8,1
1995/9/21,21.4,8,1,25.3,8,1
1995/9/22,21.0,8,1,24.1,8,1
1995/9/23,22.5,8,1,27.1,8,1
1995/9/24,22.9,8,1,24.8,8,1
1995/9/25,25.5,8,1,30.7,8,1
1995/9/26,23.4,8,1,25.0,8,1
1995/9/27,23.0,8,1,26.5,8,1
1995/9/28,21.7,8,1,26.2,8,1
1995/9/29,22.3,8,1,26.7,8,1
1995/9/30,21.8,8,1,23.6,8,1
1995/10/1,22.7,8,1,27.6,8,1
1995/10/2,22.2,8,1,25.7,8,1
1995/10/3,23.3,8,1,28.7,8,1
1995/10/4,22.2,8,1,27.8,8,1
1995/10/5,20.8,8,1,23.9,8,1
1995/10/6,19.7,8,1,23.9,8,1
1995/10/7,18.8,8,1,22.5,8,1
1995/10/8,17.3,8,1,18.3,8,1
1995/10/9,18.8,8,1,22.9,8,1
1995/10/10,19.5,8,1,24.4,8,1
1995/10/11,18.9,8,1,23.2,8,1
1995/10/12,20.5,8,1,25.8,8,1
1995/10/13,19.9,8,1,25.2,8,1
1995/10/14,19.7,8,1,24.8,8,1
1995/10/15,20.6,8,1,26.3,8,1
1995/10/16,22.2,8,1,28.3,8,1
1995/10/17,22.3,8,1,27.2,8,1
1995/10/18,21.4,8,1,26.1,8,1
1995/10/19,20.2,8,1,24.9,8,1
1995/10/20,19.7,8,1,24.8,8,1
1995/10/21,18.3,8,1,23.4,8,1
1995/10/22,18.9,8,1,24.1,8,1
1995/10/23,18.3,8,1,22.5,8,1
1995/10/24,17.9,8,1,21.6,8,1
1995/10/25,17.4,8,1,21.1,8,1
1995/10/26,17.2,8,1,23.1,8,1
1995/10/27,17.6,8,1,23.3,8,1
1995/10/28,16.8,8,1,20.9,8,1
1995/10/29,17.5,8,1,20.8,8,1
1995/10/30,19.0,8,1,24.2,8,1
1995/10/31,17.7,8,1,22.9,8,1
1995/11/1,14.1,8,1,18.4,8,1
1995/11/2,10.7,8,1,14.9,8,1
1995/11/3,13.2,8,1,17.1,8,1
1995/11/4,15.0,8,1,19.6,8,1
1995/11/5,14.6,8,1,20.3,8,1
1995/11/6,13.9,8,1,20.1,8,1
1995/11/7,15.5,8,1,20.5,8,1
1995/11/8,11.7,8,1,17.4,8,1
1995/11/9,9.6,8,1,14.1,8,1
1995/11/10,11.5,8,1,16.6,8,1
1995/11/11,11.8,8,1,15.7,8,1
1995/11/12,12.1,8,1,17.3,8,1
1995/11/13,12.7,8,1,19.5,8,1
1995/11/14,13.6,8,1,18.8,8,1
1995/11/15,9.9,8,1,12.9,8,1
1995/11/16,11.5,8,1,16.5,8,1
1995/11/17,13.3,8,1,19.1,8,1
1995/11/18,13.5,8,1,19.7,8,1
1995/11/19,13.7,8,1,20.4,8,1
1995/11/20,13.9,8,1,18.6,8,1
1995/11/21,10.6,8,1,14.0,8,1
1995/11/22,9.6,8,1,12.5,8,1
1995/11/23,11.1,8,1,16.0,8,1
1995/11/24,9.4,8,1,12.2,8,1
1995/11/25,8.7,8,1,12.8,8,1
1995/11/26,8.7,8,1,13.7,8,1
1995/11/27,9.0,8,1,13.8,8,1
1995/11/28,8.2,8,1,13.5,8,1
1995/11/29,9.1,8,1,14.7,8,1
1995/11/30,8.7,8,1,13.4,8,1
1995/12/1,7.2,8,1,11.4,8,1
1995/12/2,7.8,8,1,12.2,8,1
1995/12/3,9.2,8,1,14.2,8,1
1995/12/4,9.6,8,1,14.3,8,1
1995/12/5,7.5,8,1,10.8,8,1
1995/12/6,6.0,8,1,9.7,8,1
1995/12/7,7.2,8,1,12.2,8,1
1995/12/8,6.0,8,1,9.8,8,1
1995/12/9,5.6,8,1,10.9,8,1
1995/12/10,5.6,8,1,11.7,8,1
1995/12/11,8.1,8,1,12.8,8,1
1995/12/12,9.9,8,1,15.1,8,1
1995/12/13,8.3,8,1,13.5,8,1
1995/12/14,8.8,8,1,14.0,8,1
1995/12/15,10.4,8,1,14.1,8,1
1995/12/16,6.5,8,1,10.4,8,1
1995/12/17,6.9,8,1,11.4,8,1
1995/12/18,6.8,8,1,12.3,8,1
1995/12/19,7.3,8,1,11.9,8,1
1995/12/20,7.4,8,1,12.9,8,1
1995/12/21,7.1,8,1,11.0,8,1
1995/12/22,7.1,8,1,13.2,8,1
1995/12/23,8.2,8,1,12.5,8,1
1995/12/24,6.4,8,1,11.7,8,1
1995/12/25,1.4,8,1,5.0,8,1
1995/12/26,0.8,8,1,4.3,8,1
1995/12/27,2.6,8,1,8.2,8,1
1995/12/28,4.3,8,1,9.9,8,1
1995/12/29,5.6,8,1,9.2,8,1
1995/12/30,4.5,8,1,8.6,8,1
1995/12/31,5.6,8,1,9.9,8,1
1996/1/1,6.0,8,1,11.1,8,1
1996/1/2,5.4,8,1,10.8,8,1
1996/1/3,8.2,8,1,14.4,8,1
