ダウンロードした時刻：2024/07/09 16:07:17

,浜松,浜松,浜松,浜松,浜松,浜松
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1974/1/1,5.9,8,1,10.9,8,1
1974/1/2,6.9,8,1,13.0,8,1
1974/1/3,7.0,8,1,14.4,8,1
1974/1/4,6.6,8,1,12.9,8,1
1974/1/5,6.2,8,1,11.9,8,1
1974/1/6,4.9,8,1,9.5,8,1
1974/1/7,5.4,8,1,10.1,8,1
1974/1/8,5.8,8,1,10.2,8,1
1974/1/9,4.6,8,1,8.9,8,1
1974/1/10,3.9,8,1,7.8,8,1
1974/1/11,3.7,8,1,9.0,8,1
1974/1/12,3.9,8,1,10.0,8,1
1974/1/13,3.4,8,1,8.4,8,1
1974/1/14,3.4,8,1,8.1,8,1
1974/1/15,5.8,8,1,11.2,8,1
1974/1/16,5.7,8,1,10.1,8,1
1974/1/17,3.8,8,1,8.0,8,1
1974/1/18,3.2,8,1,7.6,8,1
1974/1/19,2.1,8,1,6.6,8,1
1974/1/20,3.3,8,1,8.8,8,1
1974/1/21,4.8,8,1,8.6,8,1
1974/1/22,7.3,8,1,11.5,8,1
1974/1/23,6.2,8,1,10.3,8,1
1974/1/24,2.4,8,1,6.0,8,1
1974/1/25,0.8,8,1,4.8,8,1
1974/1/26,1.6,8,1,6.4,8,1
1974/1/27,2.7,8,1,8.3,8,1
1974/1/28,2.3,8,1,5.4,8,1
1974/1/29,1.9,8,1,6.7,8,1
1974/1/30,3.7,8,1,7.6,8,1
1974/1/31,4.3,8,1,8.4,8,1
1974/2/1,4.8,8,1,10.4,8,1
1974/2/2,4.0,8,1,8.8,8,1
1974/2/3,4.3,8,1,10.4,8,1
1974/2/4,5.6,8,1,11.7,8,1
1974/2/5,4.9,8,1,6.7,8,1
1974/2/6,6.7,8,1,8.6,8,1
1974/2/7,4.9,8,1,6.8,8,1
1974/2/8,5.4,8,1,9.9,8,1
1974/2/9,2.6,8,1,6.8,8,1
1974/2/10,2.1,8,1,6.0,8,1
1974/2/11,1.5,8,1,5.6,8,1
1974/2/12,0.0,8,1,4.8,8,1
1974/2/13,3.0,8,1,6.8,8,1
1974/2/14,5.1,8,1,10.8,8,1
1974/2/15,6.5,8,1,12.1,8,1
1974/2/16,9.3,8,1,14.6,8,1
1974/2/17,9.2,8,1,13.3,8,1
1974/2/18,10.3,8,1,17.0,8,1
1974/2/19,10.2,8,1,15.7,8,1
1974/2/20,10.3,8,1,16.1,8,1
1974/2/21,6.7,8,1,12.1,8,1
1974/2/22,10.0,8,1,15.0,8,1
1974/2/23,10.2,8,1,15.9,8,1
1974/2/24,6.0,8,1,10.2,8,1
1974/2/25,5.4,8,1,8.8,8,1
1974/2/26,2.7,8,1,7.2,8,1
1974/2/27,2.5,8,1,7.1,8,1
1974/2/28,3.9,8,1,9.7,8,1
1974/3/1,7.0,8,1,12.2,8,1
1974/3/2,8.9,8,1,14.4,8,1
1974/3/3,9.1,8,1,14.4,8,1
1974/3/4,12.5,8,1,17.6,8,1
1974/3/5,13.3,8,1,18.8,8,1
1974/3/6,12.6,8,1,13.7,8,1
1974/3/7,13.5,8,1,16.8,8,1
1974/3/8,8.3,8,1,11.6,8,1
1974/3/9,8.5,8,1,11.8,8,1
1974/3/10,9.7,8,1,16.5,8,1
1974/3/11,5.8,8,1,10.7,8,1
1974/3/12,2.6,8,1,6.8,8,1
1974/3/13,2.2,8,1,7.1,8,1
1974/3/14,4.8,8,1,10.5,8,1
1974/3/15,9.0,8,1,16.1,8,1
1974/3/16,6.3,8,1,8.2,8,1
1974/3/17,9.0,8,1,14.6,8,1
1974/3/18,7.9,8,1,12.5,8,1
1974/3/19,5.8,8,1,11.1,8,1
1974/3/20,6.1,8,1,11.4,8,1
1974/3/21,8.3,8,1,13.1,8,1
1974/3/22,6.3,8,1,11.0,8,1
1974/3/23,5.7,8,1,10.7,8,1
1974/3/24,5.9,8,1,11.0,8,1
1974/3/25,6.0,8,1,9.8,8,1
1974/3/26,7.1,8,1,11.2,8,1
1974/3/27,6.4,8,1,8.2,8,1
1974/3/28,7.8,8,1,13.0,8,1
1974/3/29,8.7,8,1,14.1,8,1
1974/3/30,11.7,8,1,17.2,8,1
1974/3/31,14.3,8,1,17.8,8,1
1974/4/1,12.1,8,1,16.3,8,1
1974/4/2,7.7,8,1,11.9,8,1
1974/4/3,9.3,8,1,16.1,8,1
1974/4/4,13.5,8,1,18.5,8,1
1974/4/5,15.4,8,1,20.4,8,1
1974/4/6,13.5,8,1,17.4,8,1
1974/4/7,15.6,8,1,18.0,8,1
1974/4/8,14.9,8,1,17.6,8,1
1974/4/9,12.5,8,1,15.9,8,1
1974/4/10,14.2,8,1,20.3,8,1
1974/4/11,13.6,8,1,19.1,8,1
1974/4/12,15.8,8,1,22.5,8,1
1974/4/13,15.3,8,1,20.8,8,1
1974/4/14,14.7,8,1,16.8,8,1
1974/4/15,14.6,8,1,18.8,8,1
1974/4/16,14.3,8,1,19.0,8,1
1974/4/17,15.0,8,1,19.1,8,1
1974/4/18,16.2,8,1,21.2,8,1
1974/4/19,15.9,8,1,21.8,8,1
1974/4/20,14.2,8,1,17.4,8,1
1974/4/21,15.4,8,1,19.3,8,1
1974/4/22,15.3,8,1,18.7,8,1
1974/4/23,15.8,8,1,20.0,8,1
1974/4/24,17.3,8,1,22.1,8,1
1974/4/25,17.6,8,1,20.2,8,1
1974/4/26,17.7,8,1,22.7,8,1
1974/4/27,16.4,8,1,21.5,8,1
1974/4/28,16.2,8,1,20.6,8,1
1974/4/29,16.3,8,1,20.3,8,1
1974/4/30,15.9,8,1,22.0,8,1
1974/5/1,16.8,8,1,22.3,8,1
1974/5/2,14.7,8,1,19.3,8,1
1974/5/3,15.7,8,1,20.9,8,1
1974/5/4,18.0,8,1,21.5,8,1
1974/5/5,18.5,8,1,23.9,8,1
1974/5/6,15.2,8,1,19.2,8,1
1974/5/7,16.5,8,1,20.8,8,1
1974/5/8,17.4,8,1,20.7,8,1
1974/5/9,17.8,8,1,20.3,8,1
1974/5/10,19.0,8,1,23.8,8,1
1974/5/11,18.0,8,1,22.0,8,1
1974/5/12,18.3,8,1,23.2,8,1
1974/5/13,17.9,8,1,22.8,8,1
1974/5/14,17.5,8,1,21.6,8,1
1974/5/15,17.4,8,1,21.1,8,1
1974/5/16,19.2,8,1,23.6,8,1
1974/5/17,20.5,8,1,25.4,8,1
1974/5/18,20.7,8,1,26.0,8,1
1974/5/19,20.8,8,1,25.2,8,1
1974/5/20,20.4,8,1,23.0,8,1
1974/5/21,20.7,8,1,21.9,8,1
1974/5/22,20.9,8,1,23.0,8,1
1974/5/23,21.8,8,1,27.0,8,1
1974/5/24,21.2,8,1,25.7,8,1
1974/5/25,19.9,8,1,24.4,8,1
1974/5/26,20.1,8,1,24.8,8,1
1974/5/27,19.6,8,1,24.8,8,1
1974/5/28,18.9,8,1,23.1,8,1
1974/5/29,21.5,8,1,25.6,8,1
1974/5/30,20.7,8,1,24.5,8,1
1974/5/31,21.9,8,1,24.5,8,1
1974/6/1,22.6,8,1,28.7,8,1
1974/6/2,23.1,8,1,29.3,8,1
1974/6/3,21.6,8,1,26.2,8,1
1974/6/4,21.1,8,1,23.8,8,1
1974/6/5,19.7,8,1,20.9,8,1
1974/6/6,21.0,8,1,24.9,8,1
1974/6/7,20.3,8,1,25.2,8,1
1974/6/8,21.2,8,1,25.8,8,1
1974/6/9,21.5,8,1,25.4,8,1
1974/6/10,21.5,8,1,24.1,8,1
1974/6/11,20.3,8,1,22.7,8,1
1974/6/12,21.7,8,1,25.5,8,1
1974/6/13,22.4,8,1,26.0,8,1
1974/6/14,20.3,8,1,22.1,8,1
1974/6/15,21.3,8,1,26.6,8,1
1974/6/16,22.8,8,1,27.5,8,1
1974/6/17,22.5,8,1,25.9,8,1
1974/6/18,23.5,8,1,25.2,8,1
1974/6/19,23.6,8,1,27.2,8,1
1974/6/20,23.6,8,1,27.2,8,1
1974/6/21,22.1,8,1,25.4,8,1
1974/6/22,23.9,8,1,28.4,8,1
1974/6/23,22.8,8,1,26.5,8,1
1974/6/24,22.6,8,1,27.4,8,1
1974/6/25,22.3,8,1,27.8,8,1
1974/6/26,22.2,8,1,26.7,8,1
1974/6/27,21.8,8,1,26.4,8,1
1974/6/28,21.7,8,1,25.9,8,1
1974/6/29,23.0,8,1,27.7,8,1
1974/6/30,20.0,8,1,23.4,8,1
1974/7/1,20.1,8,1,21.0,8,1
1974/7/2,20.9,8,1,23.5,8,1
1974/7/3,23.8,8,1,27.1,8,1
1974/7/4,25.6,8,1,28.4,8,1
1974/7/5,22.1,8,1,24.4,8,1
1974/7/6,21.7,8,1,24.3,8,1
1974/7/7,22.0,8,1,23.4,8,1
1974/7/8,24.6,8,1,28.1,8,1
1974/7/9,25.5,8,1,28.5,8,1
1974/7/10,25.4,8,1,27.7,8,1
1974/7/11,24.6,8,1,27.0,8,1
