ダウンロードした時刻：2024/07/10 01:13:36

,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1974/5/14,18.1,8,1,22.3,8,1
1974/5/15,18.7,8,1,21.3,8,1
1974/5/16,20.8,8,1,27.0,8,1
1974/5/17,21.4,8,1,26.8,8,1
1974/5/18,22.6,8,1,29.5,8,1
1974/5/19,22.5,8,1,28.2,8,1
1974/5/20,22.6,8,1,26.4,8,1
1974/5/21,22.6,8,1,26.5,8,1
1974/5/22,18.2,8,1,22.4,8,1
1974/5/23,18.6,8,1,22.9,8,1
1974/5/24,20.3,8,1,26.3,8,1
1974/5/25,19.3,8,1,24.5,8,1
1974/5/26,20.0,8,1,24.6,8,1
1974/5/27,20.0,8,1,24.8,8,1
1974/5/28,20.7,8,1,24.9,8,1
1974/5/29,22.1,8,1,25.5,8,1
1974/5/30,22.9,8,1,26.6,8,1
1974/5/31,22.3,8,1,25.8,8,1
1974/6/1,24.3,8,1,28.9,8,1
1974/6/2,22.9,8,1,27.0,8,1
1974/6/3,22.1,8,1,27.4,8,1
1974/6/4,17.7,8,1,19.9,8,1
1974/6/5,19.9,8,1,22.4,8,1
1974/6/6,20.9,8,1,26.1,8,1
1974/6/7,22.2,8,1,27.2,8,1
1974/6/8,21.6,8,1,26.2,8,1
1974/6/9,21.9,8,1,26.9,8,1
1974/6/10,21.1,8,1,23.9,8,1
1974/6/11,20.6,8,1,22.2,8,1
1974/6/12,22.0,8,1,26.5,8,1
1974/6/13,23.6,8,1,27.3,8,1
1974/6/14,20.6,8,1,22.5,8,1
1974/6/15,22.8,8,1,28.2,8,1
1974/6/16,23.8,8,1,28.1,8,1
1974/6/17,23.0,8,1,26.2,8,1
1974/6/18,25.2,8,1,28.1,8,1
1974/6/19,23.7,8,1,25.8,8,1
1974/6/20,22.2,8,1,26.4,8,1
1974/6/21,20.9,8,1,22.7,8,1
1974/6/22,23.4,8,1,28.8,8,1
1974/6/23,22.1,8,1,24.5,8,1
1974/6/24,19.7,8,1,23.0,8,1
1974/6/25,21.5,8,1,26.3,8,1
1974/6/26,23.3,8,1,28.0,8,1
1974/6/27,20.1,8,1,23.6,8,1
1974/6/28,19.4,8,1,20.5,8,1
1974/6/29,23.5,8,1,27.7,8,1
1974/6/30,22.2,8,1,24.1,8,1
1974/7/1,20.4,8,1,21.5,8,1
1974/7/2,20.7,8,1,21.7,8,1
1974/7/3,22.9,8,1,26.1,8,1
1974/7/4,21.8,8,1,23.9,8,1
1974/7/5,17.9,8,1,18.9,8,1
1974/7/6,18.1,8,1,19.7,8,1
1974/7/7,20.3,8,1,22.9,8,1
1974/7/8,25.5,8,1,31.4,8,1
1974/7/9,27.0,8,1,31.0,8,1
1974/7/10,27.1,8,1,32.7,8,1
1974/7/11,20.8,8,1,24.4,8,1
1974/7/12,19.2,8,1,21.7,8,1
1974/7/13,19.9,8,1,23.5,8,1
1974/7/14,21.4,8,1,25.1,8,1
1974/7/15,23.7,8,1,26.5,8,1
1974/7/16,24.7,8,1,27.5,8,1
1974/7/17,23.9,8,1,26.1,8,1
1974/7/18,22.3,8,1,24.3,8,1
1974/7/19,23.3,8,1,26.4,8,1
1974/7/20,22.8,8,1,27.5,8,1
1974/7/21,22.8,8,1,27.8,8,1
1974/7/22,19.8,8,1,24.4,8,1
1974/7/23,22.8,8,1,27.7,8,1
1974/7/24,24.4,8,1,28.0,8,1
1974/7/25,26.7,8,1,30.9,8,1
1974/7/26,27.0,8,1,30.6,8,1
1974/7/27,26.7,8,1,31.2,8,1
1974/7/28,27.4,8,1,31.8,8,1
1974/7/29,27.9,8,1,31.9,8,1
1974/7/30,29.1,8,1,34.2,8,1
1974/7/31,27.7,8,1,32.2,8,1
1974/8/1,26.1,8,1,31.7,8,1
1974/8/2,27.3,8,1,31.9,8,1
1974/8/3,27.9,8,1,31.5,8,1
1974/8/4,28.2,8,1,32.4,8,1
1974/8/5,28.5,8,1,32.0,8,1
1974/8/6,28.8,8,1,32.9,8,1
1974/8/7,28.9,8,1,34.2,8,1
1974/8/8,27.5,8,1,31.6,8,1
1974/8/9,27.2,8,1,31.2,8,1
1974/8/10,26.8,8,1,30.6,8,1
1974/8/11,27.6,8,1,32.1,8,1
1974/8/12,29.0,8,1,33.2,8,1
1974/8/13,28.6,8,1,32.6,8,1
1974/8/14,28.4,8,1,33.5,8,1
1974/8/15,26.5,8,1,31.7,8,1
1974/8/16,25.3,8,1,28.3,8,1
1974/8/17,23.0,8,1,24.3,8,1
1974/8/18,24.5,8,1,27.1,8,1
1974/8/19,26.7,8,1,31.3,8,1
1974/8/20,27.9,8,1,31.6,8,1
1974/8/21,27.1,8,1,30.9,8,1
1974/8/22,26.6,8,1,30.2,8,1
1974/8/23,28.3,8,1,32.6,8,1
1974/8/24,28.2,8,1,31.8,8,1
1974/8/25,26.1,8,1,29.2,8,1
1974/8/26,26.2,8,1,28.8,8,1
1974/8/27,26.6,8,1,31.2,8,1
1974/8/28,27.6,8,1,32.2,8,1
1974/8/29,27.3,8,1,31.7,8,1
1974/8/30,26.4,8,1,31.4,8,1
1974/8/31,25.5,8,1,28.2,8,1
1974/9/1,24.8,8,1,26.6,8,1
1974/9/2,26.5,8,1,30.0,8,1
1974/9/3,28.3,8,1,32.3,8,1
1974/9/4,23.5,8,1,26.7,8,1
1974/9/5,25.5,8,1,29.3,8,1
1974/9/6,25.5,8,1,29.0,8,1
1974/9/7,27.0,8,1,32.3,8,1
1974/9/8,28.1,8,1,32.2,8,1
1974/9/9,25.2,8,1,28.3,8,1
1974/9/10,25.3,8,1,29.4,8,1
1974/9/11,23.8,8,1,27.1,8,1
1974/9/12,23.3,8,1,26.9,8,1
1974/9/13,22.6,8,1,25.4,8,1
1974/9/14,22.5,8,1,25.1,8,1
1974/9/15,25.1,8,1,29.2,8,1
1974/9/16,19.8,8,1,23.6,8,1
1974/9/17,19.8,8,1,21.0,8,1
1974/9/18,21.5,8,1,25.2,8,1
1974/9/19,20.6,8,1,23.2,8,1
1974/9/20,19.8,8,1,23.7,8,1
1974/9/21,18.8,8,1,21.6,8,1
1974/9/22,17.0,8,1,18.9,8,1
1974/9/23,19.4,8,1,24.0,8,1
1974/9/24,18.4,8,1,19.6,8,1
1974/9/25,23.3,8,1,28.6,8,1
1974/9/26,21.6,8,1,24.2,8,1
1974/9/27,20.3,8,1,21.5,8,1
1974/9/28,21.4,8,1,25.2,8,1
1974/9/29,22.8,8,1,26.7,8,1
1974/9/30,21.8,8,1,26.9,8,1
1974/10/1,20.3,8,1,23.6,8,1
1974/10/2,18.4,8,1,20.2,8,1
1974/10/3,17.7,8,1,18.6,8,1
1974/10/4,20.8,8,1,25.0,8,1
1974/10/5,20.0,8,1,24.7,8,1
1974/10/6,18.1,8,1,22.2,8,1
1974/10/7,19.2,8,1,23.4,8,1
1974/10/8,18.6,8,1,21.1,8,1
1974/10/9,21.7,8,1,26.1,8,1
1974/10/10,21.0,8,1,24.9,8,1
1974/10/11,18.2,8,1,20.6,8,1
1974/10/12,16.9,8,1,17.7,8,1
1974/10/13,15.4,8,1,16.8,8,1
1974/10/14,17.5,8,1,22.4,8,1
1974/10/15,17.6,8,1,20.8,8,1
1974/10/16,17.6,8,1,22.0,8,1
1974/10/17,17.1,8,1,20.1,8,1
1974/10/18,18.3,8,1,21.4,8,1
1974/10/19,21.5,8,1,26.1,8,1
1974/10/20,18.6,8,1,21.3,8,1
1974/10/21,18.0,8,1,21.1,8,1
1974/10/22,14.3,8,1,16.1,8,1
1974/10/23,17.4,8,1,23.2,8,1
1974/10/24,16.0,8,1,20.8,8,1
1974/10/25,14.5,8,1,18.2,8,1
1974/10/26,17.6,8,1,22.1,8,1
1974/10/27,15.6,8,1,18.0,8,1
1974/10/28,16.5,8,1,21.4,8,1
1974/10/29,15.0,8,1,18.3,8,1
1974/10/30,15.0,8,1,17.2,8,1
1974/10/31,16.9,8,1,19.7,8,1
1974/11/1,14.6,8,1,19.0,8,1
1974/11/2,12.9,8,1,17.6,8,1
1974/11/3,11.0,8,1,12.1,8,1
1974/11/4,14.2,8,1,17.5,8,1
1974/11/5,13.0,8,1,14.3,8,1
1974/11/6,13.3,8,1,15.7,8,1
1974/11/7,15.2,8,1,18.3,8,1
1974/11/8,17.7,8,1,22.3,8,1
1974/11/9,15.2,8,1,18.2,8,1
1974/11/10,12.0,8,1,14.4,8,1
1974/11/11,11.1,8,1,14.8,8,1
1974/11/12,9.5,8,1,10.8,8,1
1974/11/13,9.2,8,1,13.1,8,1
1974/11/14,8.1,8,1,13.1,8,1
1974/11/15,8.4,8,1,14.0,8,1
1974/11/16,8.3,8,1,11.3,8,1
1974/11/17,8.6,8,1,10.7,8,1
1974/11/18,13.4,8,1,20.1,8,1
1974/11/19,12.2,8,1,17.3,8,1
1974/11/20,11.7,8,1,16.8,8,1
1974/11/21,12.7,8,1,20.5,8,1
1974/11/22,11.3,8,1,15.7,8,1
1974/11/23,9.3,8,1,12.4,8,1
1974/11/24,10.7,8,1,16.2,8,1
1974/11/25,10.7,8,1,14.6,8,1
1974/11/26,10.7,8,1,16.0,8,1
